dt	pCa	delta_hsl	mode
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
